,Model,Overall_rating,Date,Review,Style,Comfort,Fuel_Economy,Performance,Value_for_Money
0,2023 Suzuki Bolan,1," Nov 30, 2023","
is gadi k baray me 3 lafaz kahunga 1 bakwaaas 2 bakwaaaaaaas 3 bakwaaaassaaaaaaaaasfazool tareen or gharya tareen gadi shame on Suzuki company.dunya me har cheez badal gai comfort level kahan se kahan ponch gya par ye farsoooda gadi he koi isko lyne ka sochy bhi na
",1,1,1,1,1
1,2022 Suzuki Swift GLX CVT,4," Nov 29, 2023","
A good looking car with best fuel ? economy,Drive comfort is less due to seat specifically Driver.Car handling is good.Bit expensive on the maintenance side in Islamabad.Interior design is good enough but it too much plastic and not that much of good quality.
",5,4,5,4,5
2,2022 Suzuki Cultus Auto Gear Shift,5," Nov 26, 2023","
for me i would must buy because its will save your money easy to drive not much hard good pickin fuel every things are great ..........cool coool..,......     ....  .. ...................  .........  .............................
",5,5,5,5,5
3,2007 Suzuki Liana RXi (CNG),5," Nov 12, 2023","
I have used it for more than 5 years. literally the best car. 1: You have to maintain the car, so you have to find a a good mechanic for maintenance 2: comfortable3: Luxurious drive4: Best for home use5: If you find one with CNG kit, you will save a lot of fuel money6: 
",5,5,5,5,5
4,2022 Suzuki Alto VX,4," Nov 09, 2023","
Exterior: 10/10 on design but the quality used is not upto the mark, alot of paint chipping.Interior is great too, comfortable, spacious, welcoming. i bought vx and customised to my preferences, but my experience with aftermarket AC is not that great.fuel average is the unique point since it gives 21 22 on local and becomes a motorcycle on highways.highly recommended ????????
",5,5,5,4,5
5,2020 Suzuki Xbee MZ,5," Nov 03, 2023","
Its like a mini SUV great design and features are unlimited feels like 1500cc power and fuel economy is much better definately a wise decision to buy itfeatures like 360 view ,adoptive cruise comfortable seats make it way above its pay grade definately no comparison in 1000cc category
",5,5,5,5,5
6,2023 Suzuki Alto VXL AGS,3," Oct 30, 2023","
not bad but their is some features missing in that car like paddle shifters and push start  over all car is good but the boot space is not good it is very small and even a bag can't fit and average is good ???? its not for traveling in other cities but in city u can buy
",1,3,5,3,3
7,2019 Suzuki Wagon R VXR,4," Oct 26, 2023","
Perfect car in under 25 lacPerfect MileageQuality InteriorExcellent PickFast as leopardEasy for cutsNice leg spaceSmall car but good Boot spacePowerful carBetter than many carsA/c perfectVery highted Person can also sit Brakes 9/10Comfort 9/19Feature 8/10
",4,4,5,5,5
8,2023 Suzuki Swift GLX CVT,4," Oct 25, 2023","
Love the vehicle since its feature packed with stock bridgestone tyres. incredible grip unlike any other car I have ever witnessed. suspension is a bit stiff however. fuel average is also incredibly good. it ranges from 13 to 20 km/l. Body is a bit wide for narrow streets 
",5,3,5,5,5
9,2021 Suzuki Bolan VX Euro II,1," Oct 25, 2023","
is mai do marz boht kharab hain ek heatup or tyre chat lena is se to every ache hai wo comfortable hai ye comfort bhe nhe hai suzuki bolan lene se to acha hai koi or lene chahye company ko ye dono marz nikalne parhengy enggnearkisi kam ka nhe hai value be nhe hai resale ka 
",2,1,2,1,1
10,2023 Suzuki Swift GLX CVT,4," Oct 13, 2023","
very nice very nice video thanks to the end all episodes have been made inbat ker rahi hun ok the end all episodes of the end all episodes of the end all episodes of the end all episodes of the end all episodes of the 3rd round the end all episodes of the end all episodes of the end all episodes of the end all episodes 
",5,5,5,5,4
11,2006 Suzuki Liana Eminent Automatic,2," Oct 07, 2023","
ok car good for home usenot good in features but it's really good cover for family use find you leverage performance not really good but yes it works if you want to buy Ileana then please bite and I would I suggest you to buy it and the thing is it's a good family car and
",2,2,3,1,4
12,2021 Suzuki Alto VXL AGS,4," Oct 05, 2023","

The front look is best but the back is a little odd it can be improved by moving the tail lights to the trunk.It has all practical and safety features such as ABS. airbags. power windows and side mirrors, LCD, etcIt has a 660cc engine and never felt underpowered with 4 passengers.Comfort is outclassed especially the front seats. The rear seats should be improved by adding a headrest but cushioning is very soft.This car is king in fuel economy, 20 to 22 km/l in the city with AC and 3 passengers.Ride quality and handling is very outstanding and the suspension is very soft.Final verdict, you should purchase it even it costs 3 million,  because all the car prices are at the sky and you can't find any car worth it. Just compare the prices in zero-segment with each other.
 

                More
                
 
                Less
                
 
",4,4,5,5,3
13,2021 Suzuki Alto VXL AGS,4," Oct 05, 2023","

The front look is best but the back is a little odd it can be improved by moving the tail lights to the trunk.It has all practical and safety features such as ABS. airbags. power windows and side mirrors, LCD, etcIt has a 660cc engine and never felt underpowered with 4 passengers.Comfort is outclassed especially the front seats. The rear seats should be improved by adding a headrest but cushioning is very soft.This car is king in fuel economy, 20 to 22 km/l in the city with AC and 3 passengers.Ride quality and handling is very outstanding and the suspension is very soft.Final verdict, you should purchase it even it costs 3 million,  because all the car prices are at the sky and you can't find any car worth it. Just compare the prices in zero-segment with each other.
 

                More
                
 
                Less
                
 
",4,4,5,5,3
